DayNY,ObsCount,Asset
01-Jan-2015,419,EURUSD
02-Jan-2015,1019,EURUSD
04-Jan-2015,420,EURUSD
05-Jan-2015,1438,EURUSD
06-Jan-2015,1440,EURUSD
07-Jan-2015,1440,EURUSD
08-Jan-2015,1440,EURUSD
09-Jan-2015,1020,EURUSD
11-Jan-2015,420,EURUSD
12-Jan-2015,1439,EURUSD
13-Jan-2015,1439,EURUSD
14-Jan-2015,1440,EURUSD
15-Jan-2015,1440,EURUSD
16-Jan-2015,1020,EURUSD
18-Jan-2015,420,EURUSD
19-Jan-2015,1439,EURUSD
20-Jan-2015,1440,EURUSD
21-Jan-2015,1438,EURUSD
22-Jan-2015,1439,EURUSD
23-Jan-2015,1020,EURUSD
25-Jan-2015,420,EURUSD
26-Jan-2015,1440,EURUSD
27-Jan-2015,1440,EURUSD
28-Jan-2015,1439,EURUSD
29-Jan-2015,1440,EURUSD
30-Jan-2015,1020,EURUSD
01-Feb-2015,419,EURUSD
02-Feb-2015,1438,EURUSD
03-Feb-2015,1438,EURUSD
04-Feb-2015,1437,EURUSD
05-Feb-2015,1439,EURUSD
06-Feb-2015,1020,EURUSD
08-Feb-2015,419,EURUSD
09-Feb-2015,1440,EURUSD
10-Feb-2015,1439,EURUSD
11-Feb-2015,1438,EURUSD
12-Feb-2015,1438,EURUSD
13-Feb-2015,1020,EURUSD
15-Feb-2015,419,EURUSD
16-Feb-2015,1440,EURUSD
17-Feb-2015,1436,EURUSD
18-Feb-2015,1438,EURUSD
19-Feb-2015,1437,EURUSD
20-Feb-2015,1019,EURUSD
22-Feb-2015,420,EURUSD
23-Feb-2015,1431,EURUSD
24-Feb-2015,1439,EURUSD
25-Feb-2015,1438,EURUSD
26-Feb-2015,1439,EURUSD
27-Feb-2015,1020,EURUSD
01-Mar-2015,419,EURUSD
02-Mar-2015,1437,EURUSD
03-Mar-2015,1440,EURUSD
04-Mar-2015,1440,EURUSD
05-Mar-2015,1439,EURUSD
06-Mar-2015,1020,EURUSD
08-Mar-2015,420,EURUSD
09-Mar-2015,1439,EURUSD
10-Mar-2015,1440,EURUSD
11-Mar-2015,1440,EURUSD
12-Mar-2015,1440,EURUSD
13-Mar-2015,1020,EURUSD
15-Mar-2015,420,EURUSD
16-Mar-2015,1436,EURUSD
17-Mar-2015,1438,EURUSD
18-Mar-2015,1438,EURUSD
19-Mar-2015,1440,EURUSD
20-Mar-2015,1016,EURUSD
22-Mar-2015,420,EURUSD
23-Mar-2015,1440,EURUSD
24-Mar-2015,1438,EURUSD
25-Mar-2015,1438,EURUSD
26-Mar-2015,1440,EURUSD
27-Mar-2015,1020,EURUSD
29-Mar-2015,420,EURUSD
30-Mar-2015,1440,EURUSD
31-Mar-2015,1440,EURUSD
01-Apr-2015,1439,EURUSD
02-Apr-2015,1440,EURUSD
03-Apr-2015,1017,EURUSD
05-Apr-2015,414,EURUSD
06-Apr-2015,1437,EURUSD
07-Apr-2015,1440,EURUSD
08-Apr-2015,1439,EURUSD
09-Apr-2015,1440,EURUSD
10-Apr-2015,1020,EURUSD
12-Apr-2015,417,EURUSD
13-Apr-2015,1439,EURUSD
14-Apr-2015,1440,EURUSD
15-Apr-2015,1440,EURUSD
16-Apr-2015,1440,EURUSD
17-Apr-2015,1020,EURUSD
19-Apr-2015,420,EURUSD
20-Apr-2015,1440,EURUSD
21-Apr-2015,1440,EURUSD
22-Apr-2015,1440,EURUSD
23-Apr-2015,1438,EURUSD
24-Apr-2015,1020,EURUSD
26-Apr-2015,420,EURUSD
27-Apr-2015,1440,EURUSD
28-Apr-2015,1439,EURUSD
29-Apr-2015,1440,EURUSD
30-Apr-2015,1440,EURUSD
01-May-2015,1020,EURUSD
03-May-2015,419,EURUSD
04-May-2015,1440,EURUSD
05-May-2015,1440,EURUSD
06-May-2015,1377,EURUSD
07-May-2015,1440,EURUSD
08-May-2015,1020,EURUSD
10-May-2015,420,EURUSD
11-May-2015,1439,EURUSD
12-May-2015,1440,EURUSD
13-May-2015,1439,EURUSD
14-May-2015,1439,EURUSD
15-May-2015,1020,EURUSD
17-May-2015,418,EURUSD
18-May-2015,1438,EURUSD
19-May-2015,1438,EURUSD
20-May-2015,1439,EURUSD
21-May-2015,1437,EURUSD
22-May-2015,1020,EURUSD
24-May-2015,418,EURUSD
25-May-2015,1430,EURUSD
26-May-2015,1437,EURUSD
27-May-2015,1440,EURUSD
28-May-2015,1440,EURUSD
29-May-2015,1020,EURUSD
31-May-2015,415,EURUSD
01-Jun-2015,1440,EURUSD
02-Jun-2015,1438,EURUSD
03-Jun-2015,1439,EURUSD
04-Jun-2015,1440,EURUSD
05-Jun-2015,1020,EURUSD
07-Jun-2015,416,EURUSD
08-Jun-2015,1439,EURUSD
09-Jun-2015,1438,EURUSD
10-Jun-2015,1440,EURUSD
11-Jun-2015,1439,EURUSD
12-Jun-2015,1020,EURUSD
14-Jun-2015,420,EURUSD
15-Jun-2015,1440,EURUSD
16-Jun-2015,1439,EURUSD
17-Jun-2015,1439,EURUSD
18-Jun-2015,1439,EURUSD
19-Jun-2015,1020,EURUSD
21-Jun-2015,418,EURUSD
